"Bcells" "CAFs" "CD4_Tcells" "CD8_Tcells" "Endothelial" "Macrophages" "NKcells" "otherCells"
"GTEX.139T8.0011.R4a.SM.5HL54" 0.502566625285023 0.0041809458489289 1.8095403334276e-07 7.25826989219241e-07 0.152679773548361 0.00239750074693782 0.218046290561106 0.120127957228621
"GTEX.13CZV.0011.R4b.SM.5J2NY" 0.606128210378996 0.00598100807135067 7.38075741136688e-08 3.13341393703502e-07 0.127101789286894 0.00281234304580482 0.257976246465006 1.56029801997167e-08
"GTEX.13FLV.0011.R4a.SM.5LZYU" 0.493889463607721 0.00464629836531765 2.9230043029468e-07 2.00202769978692e-07 0.0533452531949355 0.00133123942739245 0.220527675691162 0.226259577210272
"GTEX.13JVG.0011.R4a.SM.5MR4C" 0.392542621784698 0.00439377374743032 2.67107510952542e-07 0.0158166836841634 0.176242077365916 0.000423610873619996 0.185127038574918 0.225453926861743
"GTEX.13N1W.0011.R4a.SM.5MR52" 0.694916001854386 0.00805507670233986 1.56744922548829e-05 1.66721431215444e-06 0.0711429904744392 0.00543496850870822 0.220433171981139 4.48772421366048e-07
"GTEX.13N2G.0011.R4b.SM.5MR54" 0.594242931141611 0.00645144260601819 0.130894307284389 0.000621400363598008 0.114954308048311 0.0082884661430444 0.144547128461178 1.59518496581043e-08
"GTEX.13NYS.0011.R4b.SM.5MR3O" 0.311274357756187 0.00402059088101664 2.37820401826816e-07 0.000234587637275494 0.14736890710156 0.00457178831739707 0.176734501522965 0.355795028963197
"GTEX.13O3O.0011.R4b.SM.5KM3F" 0.750693895247039 0.00534350173300392 8.51147975268053e-06 0.000373258096888477 0.0394884666341526 0.00195893530392215 0.202130586535175 2.84497006662099e-06
"GTEX.13O3Q.0011.R4a.SM.5P9H2" 0.238868135650259 0.00527321607835222 1.41599342689802e-06 0.402742128929016 0.0356831517530783 5.30036333157573e-05 0.317378896633989 5.13285626273831e-08
"GTEX.13OVH.0011.R4a.SM.5KM3W" 0.263518221565696 0.0056183176967818 0.00653020446450006 0.329874229051388 0.156916239579768 0.00200594895092623 0.23553678046538 5.82255597387806e-08
"GTEX.13OVJ.0011.R4b.SM.5P9H5" 0.461197449560597 0.00597892362077131 7.63472177136039e-08 7.23916969486056e-07 0.206335376436093 0.00323359649686621 0.219511456998328 0.103742396623156
"GTEX.13OVL.0011.R4b.SM.5L3HV" 0.47168036334661 0.00625038603245493 6.95748547842683e-07 0.0015510213145031 0.118703840609876 0.000988767092161437 0.199061502063545 0.201763423792301
"GTEX.13OW5.0011.R4b.SM.5L3HS" 0.6888214648973 0.00592306827226987 3.84094338252728e-07 2.07746617397971e-06 0.101380413314853 0.0044481278077097 0.199424248335584 2.15811771613543e-07
"GTEX.13OW6.0011.R4a.SM.5O9DX" 0.509333882200713 0.00500052168132692 4.6687604547501e-07 0.00157420494900306 0.149571351696018 0.00035852223325556 0.2112082193324 0.122952831031237
"GTEX.13OW7.0011.R4b.SM.5O9CX" 0.592652921366768 0.00656057959083577 3.31980557208538e-08 3.38671203961077e-05 0.0919537502654762 0.00226185961210787 0.21677865470906 0.0897583341373004
"GTEX.13PVQ.0011.R4a.SM.5O9CT" 0.682189598614797 0.0058108491328369 2.66376944441006e-07 0.0102714139175017 0.119301715732307 0.00251512792291662 0.179906444459028 4.58384366835894e-06
"GTEX.13QIC.0011.R4a.SM.5PNX8" 0.787714309340525 0.00722455173173256 1.66780610926877e-06 9.84785628570888e-07 0.12495965585527 0.00270805651924947 0.0773906916368904 8.23245942579278e-08
"GTEX.13RTJ.0011.R4b.SM.5PNX1" 0.591009810588015 0.00470004449612843 0.00200730458633557 0.00178153024349166 0.155926281875238 0.0033179685612185 0.241254888440242 2.17120933074941e-06
"GTEX.13SLW.0011.R4b.SM.5S2W2" 0.558676671035481 0.0052273531754267 5.92255101236818e-08 0.00609186789757091 0.185407321657773 0.00758292865964917 0.215698549195986 0.0213152491526027
"GTEX.13SLX.0011.R4a.SM.5O9BJ" 0.584180503453554 0.00457692041761264 9.85638601013526e-08 4.75708975845473e-06 0.0690070647832488 0.00107641268182892 0.225755414330413 0.115398828679725
"GTEX.13VXU.0011.R4b.SM.5O9CI" 0.695321104516563 0.00525353263582717 4.59146919354619e-06 4.15530043467463e-06 0.0264984742865142 0.00166141366244389 0.271256705571375 2.25576480205915e-08
"GTEX.13X6I.0011.R4b.SM.5PNU9" 0.43739687101807 0.00312915850286721 6.78078873914803e-06 0.0271733287278025 0.288335616583355 0.00291110165218368 0.24104712822023 1.45067513402117e-08
