"Input_Sample" "astrocytes" "endothelial" "microglia" "neurons" "fetal_quiescent" "fetal_replicating" "oligodendrocytes" "hybrid" "OPC" "P.value" "Pearson" "Correlation" "RMSE"
"30" "GTEX.13QIC.0011.R4a.SM.5PNX8" 0.389399070530221 0.110982187827024 0 0.27480200093218 0.0267945412626085 0 0.140066245053184 0 0.0579559543947814 0 0.577116929362169 0.823039864653319 NA
"31" "GTEX.13RTJ.0011.R4b.SM.5PNX1" 0.399099442311708 0.0884787205683352 0.03601652863953 0.286930568293436 0.0361028125895981 0 0.153371927597393 0 0 0 0.679805713206336 0.736294104712148 NA
"32" "GTEX.13SLW.0011.R4b.SM.5S2W2" 0.295992293591912 0.158803733949795 0.0488731969329279 0.270417338856826 0.0230419549178503 0 0.178293886321809 0 0.0245775954288796 0.01 0.52023321795743 0.857491506453352 NA
"33" "GTEX.13SLX.0011.R4a.SM.5O9BJ" 0.390452830219336 0.102569083649432 0 0.259731300793814 0.0282287597358974 0 0.163939968315311 0 0.0550780572862106 0 0.648036910907666 0.764897040176298 NA
"34" "GTEX.13VXU.0011.R4b.SM.5O9CI" 0.372708038345407 0.0697106650245576 0.00695310006989501 0.406548215226377 0.0425790992326573 0 0.101500882101106 0 0 0 0.659092348831395 0.753964295850968 NA
"35" "GTEX.13X6I.0011.R4b.SM.5PNU9" 0.118369394080611 0.145750688485353 0.0212465432587918 0.298136950479744 0.0639802903372805 0 0.277474271710302 0 0.0750418616479174 0.01 0.514764792178284 0.861187118021364 NA
"36" "GTEX.13X6J.0011.R4b.SM.5P9K4" 0.30121290763036 0.0481165508352101 0 0.345846803340575 0.0407452782687334 0 0.19341316645591 0 0.0706652934692117 0.01 0.484766619160011 0.885462460556014 NA
"37" "GTEX.13X6K.0011.R4b.SM.5P9HO" 0.390800070136808 0.0838498016232482 0 0.339006370798086 0.0388047895886432 0 0.127738336503158 0 0.0198006313500568 0 0.660594975181461 0.752722694747837 NA
"38" "GTEX.1445S.0011.R4a.SM.5PNWN" 0.252516017708746 0.154564002013444 0.0173463226179293 0.197076670514199 0.0635908674746482 0 0.276191157409204 0 0.0387149622618287 0 0.551844879095227 0.843485256061741 NA
"39" "GTEX.144GL.0011.R4a.SM.5PNUI" 0.164549365054093 0.167760057687409 0 0.212944835723377 0.0513995923031937 0 0.369316510871156 0 0.0340296383607717 0 0.595514637473608 0.822129985274427 NA
"40" "GTEX.145LS.0011.R4b.SM.5S2UT" 0.217234163000281 0.109605640203415 0.00287450780504918 0.476395393072804 0.047996840152935 0 0.114354091927694 0 0.0315393638378211 0.01 0.390515367901102 0.924240288860077 NA
"41" "GTEX.147GR.0011.R4a.SM.5S2V2" 0.171490525200537 0.0297630411514844 0 0.240144935108317 0.0572747456001898 0 0.390014008585892 0 0.111312744353581 0.01 0.508117503364814 0.91287156173856 NA
"42" "GTEX.14ABY.0011.R4b.SM.5S2VN" 0.390045112236767 0.042840111422201 0 0.311309203348541 0.0451404817725573 0 0.162194025025389 0 0.0484710661945447 0 0.594670856377377 0.810844749976239 NA
"43" "GTEX.14BIM.0011.R4b.SM.5S2RK" 0.342299298067571 0.056329180223751 0.00647946041891174 0.452395049452438 0.0306210693142948 0 0.0654233128835841 0 0.0464526296394498 0 0.591058230577704 0.806798654548094 NA
"44" "GTEX.N7MS.0011.R4a.SM.2HMKW" 0.0704109485841127 0.0588815935237795 0 0.222917284486311 0.0577327917106684 0 0.483105279387464 0 0.106952102307665 0 0.611267185796322 0.859517357321976 NA
"45" "GTEX.N7MT.0011.R4a.SM.2I3G9" 0.202146229136894 0.112602062810899 0.0457029764887755 0.227171373287028 0.0755044846217331 0 0.298897948598878 0 0.0379749250557935 0 0.545590869108803 0.847724090467433 NA
"46" "GTEX.NL3H.0011.R4a.SM.2I3GK" 0.424838950545582 0.0872139823864856 0 0.380310434136315 0.0275323365717384 0 0.0511038446255022 0 0.0290004517343763 0 0.591688894025103 0.811736988556566 NA
"47" "GTEX.NL4W.0011.R4a.SM.2I5GZ" 0.358984501324357 0.0761417484902795 0.0548527292963608 0.174569736059547 0.0959337392818351 0 0.188399361408331 0 0.0511181841392893 0 0.550846524583961 0.843910352091405 NA
"48" "GTEX.NPJ7.0011.R4a.SM.2I3GJ" 0.178608542540754 0.14039671412968 0.0319142487173517 0.381913497989261 0.0475656969308584 0 0.219601299692095 0 0 0 0.596374745772123 0.804616682168729 NA
"49" "GTEX.NPJ8.0011.R4a.SM.2HML3" 0.331710551271666 0.174113859500036 0.030629599378621 0.227832066893779 0.0491155122682396 0 0.151732979130806 0 0.0348654315568516 0 0.573094693658169 0.821110367114801 NA
"50" "GTEX.OHPN.0011.R4A.SM.2I5FD" 0.152150274149799 0.171466092597029 0.0556668208809829 0.284777973389778 0.0396699570911115 0 0.22684386725377 0 0.0694250146375303 0.01 0.489530106620498 0.872932734004523 NA
"51" "GTEX.P44H.0011.R4A.SM.2XCEW" 0.292232069458293 0.0881771934838426 0 0.2523310888871 0.0840846691498451 0 0.263348381804518 0 0.0198265972164009 0 0.620630581879972 0.788827638994714 NA
"52" "GTEX.Q2AG.0011.R4A.SM.2HMKA" 0.29897202866956 0.0778216064127407 0 0.442688372777026 0.0476347594763776 0 0.132883232664296 0 0 0 0.555964780019361 0.831636457029602 NA
"53" "GTEX.QDT8.0011.R4A.SM.32PKM" 0.347227711253247 0.108830314158749 0 0.284268513056962 0.0237071310658511 0 0.235966330465191 0 0 0 0.638715446142168 0.774848107863005 NA
"54" "GTEX.QMR6.0011.R4A.SM.32PKU" 0.193883181107276 0.0789750158762354 0 0.300104463555315 0.0372693116221038 0 0.351106182469505 0 0.0386618453695648 0 0.620366953458123 0.796372155829916 NA
"55" "GTEX.QVJO.0011.R4A.SM.2S1QL" 0.409354603457376 0.0527400794785685 4e-04 0.359010991065618 0.0382781227733875 0 0.134651645517619 0 0.00558184245733842 0 0.685640037219051 0.730556137952559 NA
"56" "GTEX.QVUS.0011.R4A.SM.3GAE7" 0.344256368453622 0.0742674561542864 0.0248211458464756 0.244591223225804 0.0661909780630242 0 0.245872828256788 0 0 0 0.61175014440258 0.799456796048186 NA
